,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,discounted_rewards,extra_steps,t_min_over_t
mean,,,,0.8228165482657752,0.1771834517342248,250.16422900125366,0.3705495225803737,179.1307981613038,0.7621981592216744
standard_deviation,,,,0.38182388108363585,0.38182388108363585,350.3118653899893,0.24463400607873606,362.4394619595539,0.35321387638191853
success_mean,,,,1.0,0.0,88.69629253428135,0.45033352103907176,11.39207719654647,0.9173027907656003
success_standard_deviation,,,,0.0,0.0,44.710089068349504,0.19189995674419835,27.210050491801653,0.12547647120169608
run_0,14.0,171.0,120.0,True,False,142.0,0.2399924795841344,22.0,0.8450704225352113
run_1,15.0,139.0,87.0,False,True,1000.0,4.317124741065786e-05,913.0,0.087
run_2,15.0,145.0,93.0,False,True,1000.0,4.317124741065786e-05,907.0,0.093
run_3,15.0,168.0,116.0,True,False,138.0,0.2498370564584527,22.0,0.8405797101449275
run_4,15.0,171.0,119.0,True,False,141.0,0.2424166460445802,22.0,0.8439716312056738
run_5,15.0,174.0,122.0,True,False,144.0,0.23521662924041012,22.0,0.8472222222222222
run_6,15.0,175.0,123.0,True,False,145.0,0.232864462948006,22.0,0.8482758620689655
run_7,15.0,176.0,124.0,True,False,146.0,0.23053581831852593,22.0,0.8493150684931506
run_8,15.0,177.0,125.0,True,False,147.0,0.22823046013534068,22.0,0.8503401360544217
run_9,15.0,178.0,126.0,True,False,148.0,0.22594815553398728,22.0,0.8513513513513513
run_10,15.0,179.0,127.0,True,False,149.0,0.2236886739786474,22.0,0.8523489932885906
run_11,15.0,180.0,128.0,True,False,150.0,0.22145178723886091,22.0,0.8533333333333334
run_12,15.0,182.0,130.0,True,False,152.0,0.21704489667280757,22.0,0.8552631578947368
run_13,16.0,151.0,98.0,True,False,120.0,0.2993803913123313,22.0,0.8166666666666667
run_14,16.0,157.0,104.0,True,False,126.0,0.2818606955404635,22.0,0.8253968253968254
run_15,16.0,159.0,106.0,True,False,128.0,0.2762516676992083,22.0,0.828125
run_16,16.0,160.0,107.0,True,False,129.0,0.2734891510222162,22.0,0.8294573643410853
run_17,16.0,163.0,110.0,True,False,132.0,0.26536624974770534,22.0,0.8333333333333334
run_18,16.0,164.0,111.0,True,False,133.0,0.2627125872502283,22.0,0.8345864661654135
run_19,16.0,167.0,114.0,True,False,136.0,0.2549097606963093,22.0,0.8382352941176471
run_20,16.0,171.0,118.0,True,False,140.0,0.24486529903492948,22.0,0.8428571428571429
run_21,16.0,172.0,119.0,True,False,141.0,0.2424166460445802,22.0,0.8439716312056738
run_22,16.0,176.0,123.0,True,False,145.0,0.232864462948006,22.0,0.8482758620689655
run_23,16.0,177.0,124.0,True,False,146.0,0.23053581831852593,22.0,0.8493150684931506
run_24,16.0,179.0,126.0,True,False,148.0,0.22594815553398728,22.0,0.8513513513513513
run_25,16.0,180.0,127.0,True,False,149.0,0.2236886739786474,22.0,0.8523489932885906
run_26,16.0,181.0,128.0,True,False,150.0,0.22145178723886091,22.0,0.8533333333333334
run_27,16.0,182.0,129.0,True,False,151.0,0.2192372693664723,22.0,0.8543046357615894
run_28,16.0,183.0,130.0,True,False,152.0,0.21704489667280757,22.0,0.8552631578947368
run_29,16.0,184.0,131.0,True,False,153.0,0.2148744477060795,22.0,0.8562091503267973
run_30,17.0,100.0,46.0,False,True,1000.0,4.317124741065786e-05,954.0,0.046
run_31,17.0,101.0,47.0,False,True,1000.0,4.317124741065786e-05,953.0,0.047
run_32,17.0,106.0,52.0,False,True,1000.0,4.317124741065786e-05,948.0,0.052
run_33,17.0,107.0,53.0,False,True,1000.0,4.317124741065786e-05,947.0,0.053
run_34,17.0,108.0,54.0,False,True,1000.0,4.317124741065786e-05,946.0,0.054
run_35,17.0,122.0,68.0,False,True,1000.0,4.317124741065786e-05,932.0,0.068
run_36,17.0,123.0,69.0,False,True,1000.0,4.317124741065786e-05,931.0,0.069
run_37,17.0,124.0,70.0,False,True,1000.0,4.317124741065786e-05,930.0,0.07
run_38,17.0,125.0,71.0,False,True,1000.0,4.317124741065786e-05,929.0,0.071
run_39,17.0,130.0,76.0,False,True,1000.0,4.317124741065786e-05,924.0,0.076
run_40,17.0,131.0,77.0,False,True,1000.0,4.317124741065786e-05,923.0,0.077
run_41,17.0,132.0,78.0,False,True,1000.0,4.317124741065786e-05,922.0,0.078
run_42,17.0,133.0,79.0,False,True,1000.0,4.317124741065786e-05,921.0,0.079
run_43,17.0,134.0,80.0,False,True,1000.0,4.317124741065786e-05,920.0,0.08
run_44,17.0,135.0,81.0,True,False,103.0,0.355160814705073,22.0,0.7864077669902912
run_45,17.0,136.0,82.0,True,False,104.0,0.35160920655802225,22.0,0.7884615384615384
run_46,17.0,137.0,83.0,True,False,105.0,0.348093114492442,22.0,0.7904761904761904
run_47,17.0,138.0,84.0,True,False,106.0,0.3446121833475176,22.0,0.7924528301886793
run_48,17.0,139.0,85.0,True,False,107.0,0.34116606151404244,22.0,0.794392523364486
run_49,17.0,140.0,86.0,True,False,108.0,0.337754400898902,22.0,0.7962962962962963
run_50,17.0,142.0,88.0,True,False,110.0,0.33103308832101386,22.0,0.8
run_51,17.0,143.0,89.0,False,True,1000.0,4.317124741065786e-05,911.0,0.089
run_52,17.0,145.0,91.0,True,False,113.0,0.3212010745647914,22.0,0.8053097345132744
run_53,17.0,146.0,92.0,True,False,114.0,0.3179890638191435,22.0,0.8070175438596491
run_54,17.0,147.0,93.0,True,False,115.0,0.31480917318095203,22.0,0.808695652173913
run_55,17.0,148.0,94.0,True,False,116.0,0.3116610814491425,22.0,0.8103448275862069
run_56,17.0,149.0,95.0,True,False,117.0,0.30854447063465107,22.0,0.811965811965812
run_57,17.0,150.0,96.0,True,False,118.0,0.3054590259283046,22.0,0.8135593220338984
run_58,17.0,151.0,97.0,True,False,119.0,0.30240443566902153,22.0,0.8151260504201681
run_59,17.0,152.0,98.0,True,False,120.0,0.2993803913123313,22.0,0.8166666666666667
run_60,17.0,153.0,99.0,True,False,121.0,0.296386587399208,22.0,0.8181818181818182
run_61,17.0,154.0,100.0,True,False,122.0,0.2934227215252159,22.0,0.819672131147541
run_62,17.0,155.0,101.0,True,False,123.0,0.29048849430996376,22.0,0.8211382113821138
run_63,17.0,156.0,102.0,True,False,124.0,0.2875836093668641,22.0,0.8225806451612904
run_64,17.0,157.0,103.0,True,False,125.0,0.28470777327319546,22.0,0.824
run_65,17.0,161.0,107.0,True,False,129.0,0.2734891510222162,22.0,0.8294573643410853
run_66,17.0,163.0,109.0,True,False,131.0,0.2680467169168741,22.0,0.8320610687022901
run_67,17.0,168.0,114.0,True,False,136.0,0.2549097606963093,22.0,0.8382352941176471
run_68,17.0,169.0,115.0,True,False,137.0,0.2523606630893462,22.0,0.8394160583941606
run_69,17.0,170.0,116.0,True,False,138.0,0.2498370564584527,22.0,0.8405797101449275
run_70,17.0,171.0,117.0,True,False,139.0,0.24733868589386818,22.0,0.841726618705036
run_71,17.0,172.0,118.0,True,False,140.0,0.24486529903492948,22.0,0.8428571428571429
run_72,17.0,173.0,119.0,True,False,141.0,0.2424166460445802,22.0,0.8439716312056738
run_73,17.0,174.0,120.0,True,False,142.0,0.2399924795841344,22.0,0.8450704225352113
run_74,17.0,175.0,121.0,True,False,143.0,0.23759255478829303,22.0,0.8461538461538461
run_75,17.0,176.0,122.0,True,False,144.0,0.23521662924041012,22.0,0.8472222222222222
run_76,17.0,177.0,123.0,True,False,145.0,0.232864462948006,22.0,0.8482758620689655
run_77,17.0,178.0,124.0,True,False,146.0,0.23053581831852593,22.0,0.8493150684931506
run_78,17.0,179.0,125.0,True,False,147.0,0.22823046013534068,22.0,0.8503401360544217
run_79,17.0,180.0,126.0,True,False,148.0,0.22594815553398728,22.0,0.8513513513513513
run_80,17.0,181.0,127.0,True,False,149.0,0.2236886739786474,22.0,0.8523489932885906
run_81,17.0,182.0,128.0,True,False,152.0,0.21704489667280757,24.0,0.8421052631578947
run_82,17.0,183.0,129.0,True,False,151.0,0.2192372693664723,22.0,0.8543046357615894
run_83,17.0,184.0,130.0,True,False,152.0,0.21704489667280757,22.0,0.8552631578947368
run_84,18.0,73.0,18.0,False,True,1000.0,4.317124741065786e-05,982.0,0.018
run_85,18.0,74.0,19.0,False,True,1000.0,4.317124741065786e-05,981.0,0.019
run_86,18.0,75.0,20.0,False,True,1000.0,4.317124741065786e-05,980.0,0.02
run_87,18.0,90.0,35.0,False,True,1000.0,4.317124741065786e-05,965.0,0.035
run_88,18.0,91.0,36.0,False,True,1000.0,4.317124741065786e-05,964.0,0.036
run_89,18.0,96.0,41.0,False,True,1000.0,4.317124741065786e-05,959.0,0.041
run_90,18.0,97.0,42.0,False,True,1000.0,4.317124741065786e-05,958.0,0.042
run_91,18.0,98.0,43.0,False,True,1000.0,4.317124741065786e-05,957.0,0.043
run_92,18.0,99.0,44.0,False,True,1000.0,4.317124741065786e-05,956.0,0.044
run_93,18.0,100.0,45.0,False,True,1000.0,4.317124741065786e-05,955.0,0.045
run_94,18.0,101.0,46.0,False,True,1000.0,4.317124741065786e-05,954.0,0.046
run_95,18.0,102.0,47.0,False,True,1000.0,4.317124741065786e-05,953.0,0.047
run_96,18.0,103.0,48.0,False,True,1000.0,4.317124741065786e-05,952.0,0.048
run_97,18.0,104.0,49.0,False,True,1000.0,4.317124741065786e-05,951.0,0.049
run_98,18.0,105.0,50.0,False,True,1000.0,4.317124741065786e-05,950.0,0.05
run_99,18.0,106.0,51.0,False,True,1000.0,4.317124741065786e-05,949.0,0.051
run_100,18.0,107.0,52.0,False,True,1000.0,4.317124741065786e-05,948.0,0.052
run_101,18.0,108.0,53.0,False,True,1000.0,4.317124741065786e-05,947.0,0.053
