trial,species,success,duration_s,x_food_cm,y_food_cm,x0_cm,y0_cm,x_end_cm,y_end_cm
1,carolinus,1.0,356,25,33,2,82,30,35
2,carolinus,1.0,122,29,67,14,18,27,66
4,carolinus,1.0,268,30,66,9,42,30,65
5,evolans,1.0,661,30,49,3,15,31,52
6,evolans,0.0,900,30,25,101,28,103,93
7,carolinus,0.0,900,33,58,70,14,70,3
8,carolinus,0.0,900,30,38,107,28,110,40
9,carolinus,1.0,39,28,24,88,11,29,26
10,carolinus,1.0,36,30,63,6,30,27,61
11,evolans,0.0,900,33,45,89,1,13,91
12,carolinus,1.0,119,32,45,64,5,29,48
13,carolinus,1.0,120,30,59,91,66,28,62
15,carolinus,1.0,15,37,64,52,77,39,65
17,evolans,0.0,900,31,47,84,3,82,84
20,evolans,0.0,900,31,51,77,11,4,15
22,evolans,1.0,320,36,61,35,5,32,60
25,carolinus,1.0,230,32,65,90,73,36,69
26,carolinus,1.0,170,37,24,113,6,34,26
27,carolinus,1.0,96,34,44,88,17,33,42
28,carolinus,1.0,215,37,58,66,82,37,59
30,carolinus,1.0,28,35,51,80,64,36,51
32,carolinus,0.0,900,41,57,100,67,8,77
35,carolinus,1.0,186,56,44,30,66,57,43
36,carolinus,0.0,900,61,63,81,5,91,79
38,carolinus,0.0,900,58,25,31,13,30,42
39,carolinus,0.0,900,36,29,47,12,3,88
40,carolinus,1.0,310,38,44,36,4,37,43
42,carolinus,1.0,30,38,27,82,31,39,29
44,carolinus,1.0,841,38,52,23,78,34,54
45,carolinus,1.0,511,78,42,74,11,76,46
46,evolans,0.0,900,77,62,79,88,105,82
47,evolans,1.0,90,79,46,92,67,84,45
48,evolans,0.0,900,34,45,77,49,26,50
49,carolinus,1.0,233,40,44,55,16,37,49
50,carolinus,1.0,29,36,45,89,69,38,43
52,carolinus,1.0,159,39,45,38,73,38,48
53,carolinus,1.0,41,39,45,31,76,40,44
54,carolinus,1.0,126,42,44,88,15,40,43
55,carolinus,1.0,177,39,39,102,54,39,36
56,carolinus,1.0,191,39,45,28,2,38,43
57,carolinus,1.0,725,42,46,73,71,39,45
58,evolans,0.0,900,41,45,82,66,80,73
59,carolinus,1.0,86,36,45,44,8,39,40
60,carolinus,0.0,900,34,38,6,89,73,87
61,evolans,0.0,900,36,41,73,0,96,91
66,evolans,0.0,900,22,48,74,7,83,0
68,carolinus,1.0,504,17,56,83,25,15,58
69,carolinus,0.0,900,18,57,93,36,36,46
70,carolinus,1.0,115,17,59,94,41,16,62
71,carolinus,1.0,512,16,58,94,79,16,58
72,evolans,0.0,900,15,60,69,87,20,74
73,evolans,1.0,449,15,60,88,24,14,59
74,evolans,0.0,900,13,58,74,86,99,77
75,evolans,0.0,900,15,56,70,81,5,76
81,carolinus,1.0,326,40,21,39,72,41,22
82,carolinus,1.0,100,39,22,46,79,41,21
83,carolinus,1.0,418,41,21,12,88,40,20
84,carolinus,1.0,717,43,24,64,73,40,24
85,carolinus,1.0,24,38,22,91,25,38,23
87,carolinus,1.0,146,37,18,71,87,37,22
88,evolans,1.0,193,38,21,29,88,36,21
89,evolans,0.0,900,43,22,44,91,21,92
90,evolans,0.0,900,41,24,79,37,39,17
91,evolans,0.0,900,43,19,61,1,83,1
92,evolans,0.0,900,38,23,86,5,111,47
97,carolinus,1.0,346,63,54,36,26,64,52
98,carolinus,1.0,270,59,57,75,83,59,54
99,carolinus,1.0,88,58,55,51,66,59,58
100,carolinus,1.0,44,62,58,75,84,59,59
101,carolinus,1.0,54,61,56,88,62,59,55
102,carolinus,1.0,34,68,53,96,37,61,57
103,evolans,0.0,900,64,54,46,5,9,80
104,evolans,0.0,900,65,59,82,40,105,90
105,evolans,0.0,900,70,56,104,41,111,22
106,evolans,0.0,900,79,53,92,15,84,87
108,evolans,0.0,900,60,53,70,84,20,88
114,carolinus,1.0,77,39,28,69,85,39,31
115,carolinus,1.0,203,34,30,70,68,32,34
116,carolinus,1.0,370,35,26,83,65,31,27
117,carolinus,1.0,110,36,27,72,22,34,28
118,carolinus,1.0,611,35,25,72,35,35,22
119,evolans,0.0,900,39,28,92,27,12,59
120,evolans,0.0,900,42,23,48,88,16,87
121,evolans,0.0,900,39,26,83,65,93,2
122,evolans,1.0,223,39,31,87,4,42,25
123,evolans,0.0,900,34,31,91,87,3,88
124,evolans,0.0,900,34,36,62,80,75,89
125,carolinus,1.0,5,61,62,77,64,60,64
126,carolinus,1.0,378,57,73,38,79,55,67
127,carolinus,1.0,270,57,69,89,50,57,63
134,carolinus,0.0,900,76,42,20,75,43,70
135,carolinus,1.0,100,76,41,15,39,79,38
136,carolinus,1.0,47,76,46,23,19,72,50
137,carolinus,1.0,168,79,43,17,43,77,42
138,carolinus,1.0,191,78,41,52,25,77,38
144,carolinus,1.0,794,43,41,81,60,39,39
145,carolinus,1.0,412,36,68,26,74,35,65
147,evolans,0.0,900,27,44,49,82,18,80
148,evolans,0.0,900,30,40,57,88,100,92
149,evolans,0.0,900,27,42,25,78,33,90
150,evolans,0.0,900,28,40,67,75,6,60
151,carolinus,0.0,900,46,63,73,62,49,7
152,carolinus,1.0,132,30,26,45,67,5,0
153,carolinus,1.0,75,63,15,69,66,63,16
154,carolinus,1.0,19,21,47,39,81,20,49
155,carolinus,1.0,153,23,50,81,55,24,54
158,carolinus,1.0,580,56,12,78,78,56,9
160,evolans,0.0,900,26,47,73,90,107,87
162,evolans,0.0,900,29,49,22,89,31,90
164,evolans,0.0,900,26,46,77,88,111,56
165,evolans,0.0,900,23,42,79,66,14,0
166,evolans,0.0,900,23,42,59,83,71,89
167,carolinus,1.0,211,23,48,63,49,22,47
168,carolinus,1.0,130,29,48,62,66,29,49
170,carolinus,1.0,13,21,49,75,64,20,47
171,carolinus,0.0,900,79,13,63,70,25,49
172,carolinus,1.0,6,70,61,76,80,71,71
174,carolinus,1.0,182,80,13,80,68,83,12
