,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,discounted_rewards,extra_steps,t_min_over_t
mean,,,,0.8898305084745762,0.11016949152542373,416.33898305084745,0.10552687103198756,386.06779661016947,0.14144672083741355
standard_deviation,,,,0.31310090172730787,0.31310090172730787,291.4993740825033,0.1805876216948736,291.4379234077642,0.1798544407612915
success_mean,,,,1.0,0.0,344.0761904761905,0.1185867576719828,314.15238095238095,0.15486393389347433
success_standard_deviation,,,,0.0,0.0,220.35372329498625,0.18825222201791877,221.27318570179875,0.18718994317964374
run_0,70.0,46.0,35.0,True,False,375.0,0.02307798964136396,340.0,0.09333333333333334
run_1,21.0,50.0,30.0,True,False,456.0,0.010224656730596018,426.0,0.06578947368421052
run_2,33.0,46.0,22.0,True,False,512.0,0.005823976768663671,490.0,0.04296875
run_3,28.0,43.0,30.0,True,False,310.0,0.044351705540476356,280.0,0.0967741935483871
run_4,47.0,92.0,36.0,True,False,282.0,0.05876583027950327,246.0,0.1276595744680851
run_5,23.0,76.0,40.0,True,False,470.0,0.00888262772170544,430.0,0.0851063829787234
run_6,40.0,95.0,42.0,True,False,108.0,0.337754400898902,66.0,0.3888888888888889
run_7,38.0,87.0,36.0,True,False,256.0,0.0763149839065938,220.0,0.140625
run_8,29.0,45.0,27.0,False,True,1000.0,4.317124741065786e-05,973.0,0.027
run_9,23.0,85.0,49.0,True,False,363.0,0.026036082493920136,314.0,0.1349862258953168
run_10,25.0,73.0,35.0,True,False,153.0,0.2148744477060795,118.0,0.22875816993464052
run_11,49.0,87.0,33.0,False,True,1000.0,4.317124741065786e-05,967.0,0.033
run_12,51.0,65.0,13.0,True,False,227.0,0.10213842899856092,214.0,0.05726872246696035
run_13,23.0,84.0,48.0,True,False,318.0,0.040925300976303945,270.0,0.1509433962264151
run_14,25.0,80.0,42.0,True,False,350.0,0.029670038450977102,308.0,0.12
run_15,17.0,56.0,28.0,True,False,182.0,0.16054819111089647,154.0,0.15384615384615385
run_16,49.0,86.0,32.0,True,False,306.0,0.046171028276992696,274.0,0.10457516339869281
run_17,36.0,95.0,46.0,True,False,260.0,0.07330786904388821,214.0,0.17692307692307693
run_18,31.0,84.0,40.0,False,True,1000.0,4.317124741065786e-05,960.0,0.04
run_19,57.0,72.0,26.0,True,False,242.0,0.08784500919014836,216.0,0.10743801652892562
run_20,52.0,80.0,29.0,False,True,1000.0,4.317124741065786e-05,971.0,0.029
run_21,50.0,87.0,34.0,False,True,1000.0,4.317124741065786e-05,966.0,0.034
run_22,56.0,44.0,23.0,True,False,547.0,0.004096863033647498,524.0,0.04204753199268738
run_23,16.0,67.0,38.0,True,False,304.0,0.04710848717170972,266.0,0.125
run_24,39.0,43.0,19.0,True,False,19.0,0.8261686238355866,0.0,1.0
run_25,37.0,62.0,12.0,True,False,276.0,0.06241855477982408,264.0,0.043478260869565216
run_26,25.0,56.0,20.0,True,False,282.0,0.05876583027950327,262.0,0.07092198581560284
run_27,47.0,79.0,23.0,True,False,181.0,0.16216989001100654,158.0,0.1270718232044199
run_28,58.0,49.0,20.0,True,False,564.0,0.003453422808439384,544.0,0.03546099290780142
run_29,29.0,55.0,17.0,True,False,269.0,0.06696800274786396,252.0,0.06319702602230483
run_30,58.0,58.0,13.0,True,False,15.0,0.8600583546412884,2.0,0.8666666666666667
run_31,55.0,64.0,16.0,True,False,342.0,0.03215411438303834,326.0,0.04678362573099415
run_32,47.0,78.0,22.0,True,False,220.0,0.10958290556334815,198.0,0.1
run_33,31.0,64.0,20.0,True,False,110.0,0.33103308832101386,90.0,0.18181818181818182
run_34,57.0,83.0,37.0,True,False,255.0,0.07708584232989273,218.0,0.1450980392156863
run_35,59.0,57.0,13.0,True,False,17.0,0.8429431933839268,4.0,0.7647058823529411
run_36,61.0,53.0,19.0,True,False,925.0,9.17392114344589e-05,906.0,0.02054054054054054
run_37,30.0,80.0,37.0,True,False,669.0,0.0012021127010489012,632.0,0.05530642750373692
run_38,53.0,89.0,39.0,True,False,119.0,0.30240443566902153,80.0,0.3277310924369748
run_39,24.0,52.0,25.0,True,False,531.0,0.004811586872217291,506.0,0.047080979284369114
run_40,57.0,72.0,26.0,True,False,792.0,0.0003491999085185789,766.0,0.03282828282828283
run_41,56.0,78.0,31.0,True,False,143.0,0.23759255478829303,112.0,0.21678321678321677
run_42,27.0,61.0,21.0,True,False,981.0,5.2254765147374135e-05,960.0,0.021406727828746176
run_43,70.0,43.0,38.0,True,False,340.0,0.03280697314869742,302.0,0.11176470588235295
run_44,25.0,75.0,37.0,True,False,321.0,0.03970977861200674,284.0,0.11526479750778816
run_45,24.0,83.0,46.0,True,False,434.0,0.012754823560906535,388.0,0.10599078341013825
run_46,29.0,90.0,48.0,True,False,330.0,0.036275567655825146,282.0,0.14545454545454545
run_47,35.0,94.0,46.0,True,False,492.0,0.007120586097206604,446.0,0.09349593495934959
run_48,36.0,96.0,47.0,True,False,403.0,0.017417403892223023,356.0,0.11662531017369727
run_49,55.0,96.0,48.0,True,False,474.0,0.008532616747785637,426.0,0.10126582278481013
run_50,58.0,84.0,39.0,True,False,309.0,0.04479970256613774,270.0,0.1262135922330097
run_51,27.0,94.0,54.0,True,False,384.0,0.02108214157463478,330.0,0.140625
run_52,59.0,88.0,44.0,True,False,328.0,0.03701210861730961,284.0,0.13414634146341464
run_53,57.0,85.0,39.0,True,False,487.0,0.0074875505773749785,448.0,0.08008213552361396
run_54,71.0,56.0,26.0,False,True,1000.0,4.317124741065786e-05,974.0,0.026
run_55,73.0,61.0,31.0,True,False,171.0,0.17931568359471053,140.0,0.18128654970760233
run_56,79.0,43.0,47.0,True,False,229.0,0.10010587426148955,182.0,0.2052401746724891
run_57,69.0,68.0,34.0,True,False,180.0,0.16380796970808742,146.0,0.18888888888888888
run_58,46.0,83.0,26.0,True,False,260.0,0.07330786904388821,234.0,0.1
run_59,79.0,74.0,50.0,False,True,1000.0,4.317124741065786e-05,950.0,0.05
run_60,79.0,52.0,38.0,True,False,328.0,0.03701210861730961,290.0,0.11585365853658537
run_61,79.0,58.0,34.0,True,False,42.0,0.6556592205741436,8.0,0.8095238095238095
run_62,51.0,76.0,24.0,True,False,168.0,0.1848045639485463,144.0,0.14285714285714285
run_63,36.0,66.0,17.0,True,False,129.0,0.2734891510222162,112.0,0.13178294573643412
run_64,36.0,81.0,32.0,True,False,288.0,0.05532686267122055,256.0,0.1111111111111111
run_65,31.0,44.0,26.0,True,False,148.0,0.22594815553398728,122.0,0.17567567567567569
run_66,58.0,65.0,20.0,True,False,676.0,0.0011204475929265554,656.0,0.029585798816568046
run_67,51.0,53.0,9.0,True,False,411.0,0.016071817032256998,402.0,0.021897810218978103
run_68,58.0,63.0,18.0,True,False,436.0,0.012501002572044496,418.0,0.04128440366972477
run_69,48.0,71.0,16.0,True,False,154.0,0.2127257032290187,138.0,0.1038961038961039
run_70,37.0,71.0,21.0,False,True,1000.0,4.317124741065786e-05,979.0,0.021
run_71,20.0,48.0,33.0,True,False,227.0,0.10213842899856092,194.0,0.14537444933920704
run_72,36.0,66.0,17.0,True,False,261.0,0.07257479035344933,244.0,0.06513409961685823
run_73,37.0,74.0,24.0,True,False,994.0,4.585465496869457e-05,970.0,0.02414486921529175
run_74,26.0,64.0,25.0,True,False,423.0,0.014245815478382218,398.0,0.0591016548463357
run_75,61.0,62.0,20.0,True,False,288.0,0.05532686267122055,268.0,0.06944444444444445
run_76,73.0,72.0,42.0,True,False,190.0,0.14814499154757946,148.0,0.22105263157894736
run_77,64.0,75.0,36.0,True,False,184.0,0.15735328210778962,148.0,0.1956521739130435
run_78,64.0,81.0,42.0,True,False,130.0,0.27075425951199406,88.0,0.3230769230769231
run_79,43.0,75.0,19.0,True,False,211.0,0.11995712819347787,192.0,0.09004739336492891
run_80,50.0,76.0,23.0,True,False,105.0,0.348093114492442,82.0,0.21904761904761905
run_81,44.0,84.0,27.0,True,False,251.0,0.08024793100055946,224.0,0.10756972111553785
run_82,78.0,60.0,35.0,False,True,1000.0,4.317124741065786e-05,965.0,0.035
run_83,64.0,79.0,40.0,True,False,130.0,0.27075425951199406,90.0,0.3076923076923077
run_84,32.0,81.0,36.0,True,False,292.0,0.0531467635277924,256.0,0.1232876712328767
run_85,73.0,85.0,55.0,True,False,263.0,0.07113055202541568,208.0,0.20912547528517111
run_86,67.0,71.0,35.0,True,False,227.0,0.10213842899856092,192.0,0.15418502202643172
run_87,46.0,65.0,8.0,True,False,870.0,0.00015944808214086634,862.0,0.009195402298850575
run_88,48.0,48.0,11.0,True,False,205.0,0.1274133376787588,194.0,0.05365853658536585
run_89,36.0,73.0,24.0,True,False,936.0,8.21376254127997e-05,912.0,0.02564102564102564
run_90,61.0,29.0,43.0,False,True,1000.0,4.317124741065786e-05,957.0,0.043
run_91,44.0,26.0,31.0,True,False,237.0,0.09237216435585796,206.0,0.1308016877637131
run_92,31.0,30.0,40.0,True,False,746.0,0.000554440785036055,706.0,0.05361930294906166
run_93,45.0,26.0,30.0,True,False,252.0,0.07944545169055386,222.0,0.11904761904761904
run_94,37.0,44.0,20.0,True,False,430.0,0.013278030960077104,410.0,0.046511627906976744
run_95,55.0,76.0,28.0,True,False,712.0,0.000780294513845881,684.0,0.03932584269662921
run_96,48.0,52.0,7.0,True,False,385.0,0.02087132015888843,378.0,0.01818181818181818
run_97,64.0,68.0,29.0,True,False,229.0,0.10010587426148955,200.0,0.12663755458515283
run_98,69.0,70.0,36.0,True,False,396.0,0.018686891355133923,360.0,0.09090909090909091
run_99,63.0,56.0,18.0,True,False,24.0,0.7856781408072188,6.0,0.75
run_100,62.0,76.0,35.0,False,True,1000.0,4.317124741065786e-05,965.0,0.035
run_101,45.0,70.0,12.0,False,True,1000.0,4.317124741065786e-05,988.0,0.012
run_102,65.0,64.0,26.0,True,False,124.0,0.2875836093668641,98.0,0.20967741935483872
run_103,71.0,60.0,28.0,True,False,312.0,0.04346910660022087,284.0,0.08974358974358974
run_104,62.0,66.0,25.0,True,False,247.0,0.08353972967320515,222.0,0.10121457489878542
run_105,47.0,86.0,30.0,True,False,972.0,5.720172803667827e-05,942.0,0.030864197530864196
run_106,78.0,68.0,43.0,True,False,213.0,0.11756998134242766,170.0,0.20187793427230047
run_107,67.0,80.0,44.0,True,False,266.0,0.06901790349970881,222.0,0.16541353383458646
run_108,65.0,54.0,22.0,True,False,24.0,0.7856781408072188,2.0,0.9166666666666666
run_109,66.0,82.0,45.0,False,True,1000.0,4.317124741065786e-05,955.0,0.045
run_110,57.0,85.0,39.0,True,False,377.0,0.022618737647500813,338.0,0.10344827586206896
run_111,65.0,75.0,37.0,True,False,489.0,0.007338548320885216,452.0,0.07566462167689161
run_112,45.0,77.0,19.0,True,False,309.0,0.04479970256613774,290.0,0.061488673139158574
run_113,54.0,74.0,25.0,True,False,375.0,0.02307798964136396,350.0,0.06666666666666667
run_114,53.0,84.0,34.0,True,False,406.0,0.016900089579220106,372.0,0.08374384236453201
run_115,74.0,49.0,36.0,True,False,518.0,0.005483158518269426,482.0,0.0694980694980695
run_116,55.0,60.0,12.0,True,False,714.0,0.000764766653020348,702.0,0.01680672268907563
run_117,73.0,57.0,27.0,True,False,531.0,0.004811586872217291,504.0,0.05084745762711865
