,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,extra_steps,t_min_over_t,y_source_cm,x_source_cm,y_agent_cm,x_agent_cm,odor_field_file,odor_field_file_2
mean,,,,0.8813559322033898,0.11864406779661017,497.52542372881356,467.2542372881356,0.14662798621388312,,,,,,
standard_deviation,,,,0.3233692208193036,0.3233692208193036,311.5823669393573,309.7239390396693,0.21991223769739213,,,,,,
success_mean,,,,1.0,0.0,429.88461538461536,400.24038461538464,0.1616644458965212,,,,,,
success_standard_deviation,,,,0.0,0.0,268.85775311770556,267.7013078001467,0.2312228118762971,,,,,,
run_0,51.0,65.0,13.0,True,False,375.0,362.0,0.034666666666666665,64.0,36.0,76.0,52.0,/storage/arnaud/tank_odor_field_2024_06_13/35_75.h5,
run_1,48.0,52.0,7.0,True,False,9.0,2.0,0.7777777777777778,68.0,36.0,74.0,26.0,/storage/arnaud/tank_odor_field_2024_06_13/35_75.h5,
run_2,45.0,70.0,12.0,True,False,252.0,240.0,0.047619047619047616,62.0,46.0,62.0,72.0,/storage/arnaud/tank_odor_field_2024_06_13/35_75.h5,
run_3,16.0,67.0,38.0,False,True,1000.0,962.0,0.038,62.0,60.0,4.0,80.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_4,58.0,58.0,13.0,True,False,767.0,754.0,0.01694915254237288,62.0,76.0,88.0,78.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_5,36.0,66.0,17.0,True,False,27.0,10.0,0.6296296296296297,58.0,64.0,40.0,82.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_6,37.0,74.0,24.0,True,False,26.0,2.0,0.9230769230769231,56.0,70.0,40.0,104.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_7,46.0,65.0,8.0,True,False,498.0,490.0,0.01606425702811245,62.0,60.0,64.0,76.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_8,48.0,48.0,11.0,True,False,13.0,2.0,0.8461538461538461,72.0,56.0,78.0,38.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
run_9,36.0,73.0,24.0,True,False,546.0,522.0,0.04395604395604396,68.0,56.0,50.0,88.0,/storage/arnaud/tank_odor_field_2024_06_13/65_75.h5,
